Kode,Sektor,Sub Sektor
YUPI,Barang Konsumen Primer,Barang Konsumen Primer
PGAS,Energi,Trading Tambang
BKDP,Properti & Real Estat,Properti & Real Estat
BBCA,Keuangan,Bank
BUDI,Barang Konsumen Primer,Barang Konsumen Primer
OASA,Infrastruktur,Infrastruktur
PIPA,Perindustrian,Bahan bangunan
FOLK,Perindustrian,Distributor Produk Kesehatan
BJTM,Keuangan,Keuangan
DPUM,Barang Konsumen Primer,Barang Konsumen Primer
BAPI,Properti & Real Estat,Properti & Real Estat
BJBR,Keuangan,Keuangan
GOLD,Infrastruktur,Infrastruktur
CARS,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
LPCK,Properti & Real Estat,Properti & Real Estat
CMNT,Barang Baku,Barang Baku
GUNA,Barang Konsumen Primer,Barang Konsumen Primer
BPFI,Keuangan,Multifinance
MCAS,Teknologi,Pulsa dan Voucher
UFOE,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
MOLI,Barang Baku,Barang Baku
INTD,Barang Baku,Barang Baku
BBSS,Properti & Real Estat,Properti & Real Estat
BDMN,Keuangan,Keuangan
NSSS,Barang Konsumen Primer,Barang Konsumen Primer
BGTG,Keuangan,Bank
DGNS,Kesehatan,Laboratorium Kesehatan
YPAS,Barang Baku,Barang Baku
PPGL,Transportasi & Logistik,Logistik darat
BLTA,Transportasi & Logistik,Transportasi & Logistik
GTBO,Energi,Energi
MGRO,Barang Konsumen Primer,Barang Konsumen Primer
PMJS,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
TAYS,Barang Konsumen Primer,Barang Konsumen Primer
CPRO,Barang Konsumen Primer,Barang Konsumen Primer
BIKA,Properti & Real Estat,Properti & Real Estat
MTDL,Teknologi,Retail Elektronik
YOII,Keuangan,Keuangan
TPIA,Barang Baku,Petrokimia
PADA,Perindustrian,Perindustrian
AYLS,Barang Baku,Barang Baku
POLU,Barang Konsumen Non-Primer,Garment
OKAS,Barang Baku,Barang Baku
FAPA,Barang Konsumen Primer,Barang Konsumen Primer
